#run_name            mass#9900012         mass#9900035         mass#9900036         mass#9900037         cross                error                
run_166              3.300000e+01         1.000000e+02         1.000000e+02         1.000000e+02         1.888570e-11         1.289556e-14         
run_167              3.300000e+01         2.500000e+02         2.500000e+02         2.500000e+02         3.996733e-13         2.193806e-16         
run_168              3.300000e+01         5.000000e+02         5.000000e+02         5.000000e+02         2.457954e-14         1.600741e-17         
run_169              3.300000e+01         1.000000e+03         1.000000e+03         1.000000e+03         1.530182e-15         9.769419e-19         
run_170              3.300000e+01         1.000000e+04         1.000000e+04         1.000000e+04         1.529410e-19         9.370793e-23         
run_171              3.400000e+01         1.000000e+02         1.000000e+02         1.000000e+02         1.030164e-11         6.430625e-15         
run_172              3.400000e+01         2.500000e+02         2.500000e+02         2.500000e+02         2.198551e-13         1.355604e-16         
run_173              3.400000e+01         5.000000e+02         5.000000e+02         5.000000e+02         1.355097e-14         8.028310e-18         
run_174              3.400000e+01         1.000000e+03         1.000000e+03         1.000000e+03         8.426811e-16         5.545173e-19         
run_175              3.400000e+01         1.000000e+04         1.000000e+04         1.000000e+04         8.425900e-20         5.908555e-23         
run_176              3.500000e+01         1.000000e+02         1.000000e+02         1.000000e+02         5.320675e-12         3.927170e-15         
run_177              3.500000e+01         2.500000e+02         2.500000e+02         2.500000e+02         1.145588e-13         7.713957e-17         
run_178              3.500000e+01         5.000000e+02         5.000000e+02         5.000000e+02         7.055935e-15         4.518052e-18         
run_179              3.500000e+01         1.000000e+03         1.000000e+03         1.000000e+03         4.391805e-16         2.946873e-19         
run_180              3.500000e+01         1.000000e+04         1.000000e+04         1.000000e+04         4.397600e-20         2.946827e-23         
run_181              3.600000e+01         1.000000e+02         1.000000e+02         1.000000e+02         2.568078e-12         1.833176e-15         
run_182              3.600000e+01         2.500000e+02         2.500000e+02         2.500000e+02         5.573298e-14         3.792184e-17         
run_183              3.600000e+01         5.000000e+02         5.000000e+02         5.000000e+02         3.438261e-15         2.177136e-18         
run_184              3.600000e+01         1.000000e+03         1.000000e+03         1.000000e+03         2.139802e-16         1.276479e-19         
run_185              3.600000e+01         1.000000e+04         1.000000e+04         1.000000e+04         2.139400e-20         1.222231e-23         
run_186              3.700000e+01         1.000000e+02         1.000000e+02         1.000000e+02         1.141754e-12         8.039050e-16         
run_187              3.700000e+01         2.500000e+02         2.500000e+02         2.500000e+02         2.494890e-14         1.639769e-17         
run_188              3.700000e+01         5.000000e+02         5.000000e+02         5.000000e+02         1.541095e-15         9.020905e-19         
run_189              3.700000e+01         1.000000e+03         1.000000e+03         1.000000e+03         9.608110e-17         5.881132e-20         
run_190              3.700000e+01         1.000000e+04         1.000000e+04         1.000000e+04         9.599800e-21         5.816624e-24         
run_191              3.800000e+01         1.000000e+02         1.000000e+02         1.000000e+02         4.576283e-13         3.662600e-16         
run_192              3.800000e+01         2.500000e+02         2.500000e+02         2.500000e+02         1.008201e-14         6.645082e-18         
run_193              3.800000e+01         5.000000e+02         5.000000e+02         5.000000e+02         6.229394e-16         3.836337e-19         
run_194              3.800000e+01         1.000000e+03         1.000000e+03         1.000000e+03         3.886404e-17         2.543908e-20         
run_195              3.800000e+01         1.000000e+04         1.000000e+04         1.000000e+04         3.880600e-21         2.376931e-24         
run_196              3.900000e+01         1.000000e+02         1.000000e+02         1.000000e+02         1.605485e-13         1.187012e-16         
run_197              3.900000e+01         2.500000e+02         2.500000e+02         2.500000e+02         3.570595e-15         2.407105e-18         
run_198              3.900000e+01         5.000000e+02         5.000000e+02         5.000000e+02         2.212129e-16         1.309406e-19         
run_199              3.900000e+01         1.000000e+03         1.000000e+03         1.000000e+03         1.378981e-17         7.653745e-21         
run_200              3.900000e+01         1.000000e+04         1.000000e+04         1.000000e+04         1.378440e-21         8.838310e-25         
run_201              4.000000e+01         1.000000e+02         1.000000e+02         1.000000e+02         4.737551e-14         3.479113e-17         
run_202              4.000000e+01         2.500000e+02         2.500000e+02         2.500000e+02         1.062856e-15         6.828778e-19         
run_203              4.000000e+01         5.000000e+02         5.000000e+02         5.000000e+02         6.587477e-17         4.062094e-20         
run_204              4.000000e+01         1.000000e+03         1.000000e+03         1.000000e+03         4.105903e-18         2.294894e-21         
run_205              4.000000e+01         1.000000e+04         1.000000e+04         1.000000e+04         4.103600e-22         2.719269e-25         
